Famous_Person,Muncipality
"Heinz Brand (* 1955), Nationalrat ab 2011",Klosters
"Markus Huppenbauer (1958–2020), Ethiker und Hochschullehrer",Klosters
"Coni Allemann (* 1963), Musiker, Schriftsteller, Kabarettist",Klosters
"Seraina Boner (* 1982), Skilangläuferin",Klosters
"Gian-Andrea Thöny (* 1992), Eishockeyspieler",Klosters
"Nicolin Sererhard (1689–1756), reformierter Pfarrer und Chronist",Küblis
"Nina Caprez (* 1986), Sportkletterin",Küblis
"Marc Wieser (* 1987), Eishockeyspieler",Küblis
"Dino Wieser (* 1989), Eishockeyspieler",Küblis
"Harry Braillard (* 1999), Unihockeyspieler",Küblis
"Hans Ardüser (1557 – nach 1614), Bündner Wandermaler, Lehrer und Chronist",Lantsch/Lenz
"Joseph Michael Willi (1824–1897), Jesuit, Missionar und Pädagoge",Lantsch/Lenz
"Anton Thaddäus von Sumerau (1697–1771), erster Regierungspräsident Vorderösterreichs",Lantsch/Lenz
"Philipp Gallicius (1504–1566), Theologe, Reformator und Kirchenlieddichter; als Kaplan 1524–1526 in La Punt Chamues-ch",La Punt Chamues-ch
Familie Albertini,La Punt Chamues-ch
"Jakob Albertini (* um 1575 in La Punt; † 1624 ebenda), Doktor beider Rechte, war einer von den fünf reformierten Bündnern, die 1620 dem Veltlinermord in Tirano entgingen.",La Punt Chamues-ch
"Jakob Ulrich Albertini (1630–1697), Sohn des Hauptmanns Ulrich, Doctor juris, veröffentlichte 1675 Trattato dei casi di coscienza.",La Punt Chamues-ch
"Jakob Ulrich Albertini (1667–1726), Sohn des Jacob Ulrich, trat 1686 in spanische Kriegsdienste. 1695 wurde er Oberst des in spanischen Diensten stehenden Bündnerregiments.",La Punt Chamues-ch
"Johann Baptist Albertini (1769–1831), Sohn des Hauptmanns Jakob Ulrich, der 1763 nach Neuwied zog und sich dort der Herrnhuter Brüdergemeine anschloss. Er trat 1782 als Zögling in das Pädagogium in Niesky und 1785 in das theologische Seminar zu Barby ein.",La Punt Chamues-ch
"Christoph Albertini (* Februar 1776 in La Punt; † 23. Dezember 1848 in Chur), Sohn des Landeshauptmanns Peter, Präsident des Gotteshausbundes und Bürgermeister von Chur.",La Punt Chamues-ch
"Jacques Albertini (* 21. März 1861 in Punt Chamues; †), studierte in Zürich, München, Pisa, Jena und Berlin und wurde 1887 zum Doktor juris promoviert; 1909 Oberst der Infanterie; 1913 Grossratsabgeordneter dea Kreises Oberengadin.",La Punt Chamues-ch
"Martina Linn, Musikerin",La Punt Chamues-ch
Familie Jacomella aus Lostallo,Lostallo
Familie Tonella aus Cabbiolo,Lostallo
"Franco Binda (* 1925 in Lostallo; † 23. August 2019 in Locarno), er gründete den Museo della Valle Verzasca, Forscher, Lokalarchäolog, Publizist",Lostallo
"Gerry Mottis (* 14. Oktober 1975 in Locarno), Dozent in Giubiasco und Roveredo GR, Dichter, Schriftsteller und Dramaturg, wohnt in Lostallo und Rivera TI",Lostallo
"Fabiana Mottis (* 9. August 2003), Volleyballspielerin (Rookie of the Year 2021), Nomination zur «Bündner Sportlerin des Jahres» 2022, aufgewachsen in Lostallo",Lostallo
"Georg Fient (1845–1915), Lehrer, Beamter, Zeitungsredaktor und Mundartschriftsteller",Luzein
"Johannes Comander (um 1484–1557), Theologe und Reformator",Maienfeld
"Hortensia Gugelberg von Moos (1659–1715), Ärztin und Schriftstellerin",Maienfeld
"Michael Kuoni (1839–1891), Chef des Eidg. Telegraphenbüros und Mundartautor",Maienfeld
"Theophil Sprecher von Bernegg (1850–1927), Generalstabschef der Schweizerischen Armee während des Ersten Weltkrieges",Maienfeld
"Hermann Mooser (1891–1971), Biologe und Mediziner",Maienfeld
"Fritz Tanner (1923–1996), Theologe und Eheberater",Maienfeld
"Konrad Grebel (1498–1526), Mitbegründer der Täuferbewegung, verstarb in Maienfeld an der Pest",Maienfeld
"Johann Conrad Meyer (1544–18. Juni 1604), Bürgermeister in Schaffhausen, flüchtete nach einem Konkurs nach Maienfeld und wurde Schullehrer",Maienfeld
"Bartholomäus Anhorn der Ältere (1566–1642), evangelisch-reformierter Pfarrer und Historiker in Graubünden und Appenzell, in Maienfeld 1596–1621",Maienfeld
"Antonio Molina (* um 1585 in Buseno; † nach 29. Dezember 1650 ebenda), Sohn des Orazio, studierte in Paris, Oberst im Dienst der Franzosen, Oberbürgermeister im Traona (1613–1615), Landvogt im Maienfeld (1630–1631) (1641–1643)",Maienfeld
"John Knittel (1891–1970), Schriftsteller, lebte nach 1938 in Maienfeld",Maienfeld
"Hansjörg Trachsel (* 1948), Politiker, wohnt in Maienfeld",Maienfeld
"Armon Orlik (* 1995), Schwinger, wohnt in Maienfeld",Maienfeld
"Petrus Domenicus Rosius à Porta (1734–1806), reformierter Pfarrer in Masein 1757–1758 und Kirchenhistoriker",Masein
"Peter Anton Feldscher (1889–1979), Jurist und Diplomat",Masein
"Gian Marchet Colani (1772–1837), legendärer Jäger und Büchsenmacher",Pontresina
"Wilhelm Conrad Röntgen (1845–1923), Nobelpreisträger für Physik; er verbrachte oft hier seine Sommerurlaube",Pontresina
"Konstantin I. (Griechenland) (1868–1923), König von Griechenland; er erkrankte hier 1917",Pontresina
"Otto Kober (* 1. März 1935 in Pontresina) (Bürgerort La Punt Chamues-ch), Maler, Architekt, Zeichner, Lithograf",Pontresina
"Beat Anton Rüttimann (* 1967),  Schweizer Brückenbauer, der in Lateinamerika und Südostasien tätig ist. Tausende von Menschen in Süd- und Zentralamerika kennen ihn als Toni el Suizo.",Pontresina
"Jessica Pünchera (* 1982), Skirennfahrerin",Pontresina
"Curdin Perl (* 1984), Skilangläufer",Pontresina
"Christian Rathgeb (* 1970), Politiker (FDP), Ehrenbürger der Bürgergemeinde Rhäzüns",Rhäzüns
"Friedrich Schaltegger (1851–1936), nachmals Thurgauer Kantonsarchivar und -bibliothekar, war 1879–1888 Pfarrer in Safien",Safiental
"Daniel Badraun (* 1960), Schriftsteller und Kleinklassenlehrer",Samedan
"Johannes Badrutt (1819–1889), Hotelier",Samedan
"Oskar Bernhard (1861–1939), Heliotherapeut, Arzt, Mäzen",Samedan
"Jachiam Tütschett Bifrun (1506–1572), Jurist, Notar, Landammann, Richter und erster Bibelübersetzer in die oberengadinische Sprache",Samedan
"Duri Camichel (1982–2015), Eishockeyspieler",Samedan
"Werner Camichel (1945–2006), Bobfahrer",Samedan
"Selina Chönz (1910–2000), Autorin",Samedan
"Marco Cortesi (* 1956), Polizeibeamter und Mediensprecher",Samedan
"Gianina Ernst (* 1998), Skispringerin",Samedan
"Urs Frey (1960–2008), Dokumentarfilmer",Samedan
"Seraina Friedli (* 1993), Fussballspielerin",Samedan
"Jole Galli (* 1995), italienische Skirennläuferin und Freestyle-Skierin",Samedan
"Aita Gasparin (* 1994), Biathletin",Samedan
"Elisa Gasparin (* 1991), Biathletin",Samedan
"Selina Gasparin (* 1984), Biathletin",Samedan
"Michelle Gisin (* 1993), Skirennfahrerin",Samedan
"Bianca Gisler (* 2003), Snowboarderin",Samedan
"Mark Hardy (* 1959), kanadischer Eishockeyspieler",Samedan
"Gerold Hilty (1927–2014), Sprachwissenschafter und Hochschullehrer",Samedan
"Andrea Huber (* 1975), Skilangläuferin",Samedan
"Jörg Jenatsch (1596–1639), Pfarrer und Militärführer",Samedan
"Steivan Liun Könz (1940–1998), Zeichner, Radierer und Sgraffitokünstler",Samedan
"Reto Lamm (* 1970), Freestyle-Snowboarder",Samedan
"Ursina Lardi (* 1970), Schauspielerin",Samedan
"Oscar Mayer (1916–2011), Politiker",Samedan
"Domenica Messmer (1902–1988), Schriftstellerin, Übersetzerin und Redakteurin",Samedan
"Claudio Micheli (* 1970), Eishockeyspieler",Samedan
"Seraina Mischol (* 1981), Skilangläuferin",Samedan
"Andrea Robbi (1864–1945), Maler",Samedan
"Giovanni Segantini (1858–1899), Maler",Samedan
"Pietro Paolo Vergerio (1498–1565), italienischer Reformator und Prediger in Samedan 1549–1553",Samedan
"Valeria Zangger (* 1985), Jazzmusikerin",Samedan
"Célina Hangl (* 1989), Skirennfahrerin",Samnaun
"Marco Hangl (* 1967), Skirennfahrer",Samnaun
"Martin Hangl (* 1962), Skirennfahrer",Samnaun
"Thomas Tumler (* 1989), Skirennfahrer",Samnaun
"Petrus Domenicus Rosius à Porta (1734–1806), reformierter Pfarrer in S-chanf 1765–1771 und Kirchenhistoriker",S-chanf
"Laurent-Théodore Biett (1781–1840), Dermatologe in Paris",S-chanf
"Otto Barblan (1860–1943), Komponist, Organist und Musikpädagoge",S-chanf
"Anton Christoffel (* 7. Oktober 1871 in S-chanf; † 4. August 1953 in Zürich), Maler und GrafikerChristoffel, Anton. In: Sikart",S-chanf
"Paolo Gir (* 3. Mai 1918 in S-chanf; † 7. Mai 2013 in Chur), Schriftsteller, Dichter, Essayist, Publizist, Übersetzer, 1957–1977 Präsident der Sektion Chur der Pro Grigioni Italiano, Cavaliere della Repubblica Italiana",S-chanf
"Romedi Arquint (* 1943), reformierter Pfarrer, Lehrer und Politiker",S-chanf
"Corsin Simeon (* 1986), Snowboarder",S-chanf
"Bernardo da Poschiavo (* um 1475 in Scharans ?; † nach 1522 in Ramosch), Baumeister",Scharans
"Philipp Gallicius (1504–1566), Reformierter Pfarrer, Reformator und Liederdichter, um 1530 in Scharans",Scharans
"Jörg Jenatsch (1596–1639), Bündner Politiker und Heerführer, Prädikant 1617–1618 und evangelischer Pfarrer 1628–1630 in Scharans",Scharans
"Florian Cajori (1859–1930), schweizerisch-US-amerikanischer Mathematiker und Mathematikhistoriker",Scharans
"Linard Bardill (* 1956), Liedermacher und Schriftsteller",Scharans
"Andrea Clavadetscher (* 1960), Radsportler",Schiers
"Theophil Forchhammer (1847–1923), Komponist, Organist und Kirchenmusiker",Schiers
"Eduard Imhof (1895–1986), Kartograf",Schiers
"Manuel Pleisch (* 1990), Skirennfahrer",Schiers
"Mathias Rüegg (* 1952), Pianist, Komponist, Arrangeur und Bandleader",Schiers
"Rudolf Schmid (1914–2012), Weihbischof im Bistum Augsburg",Schiers
"Andreas Victor Walser (* 1976), Althistoriker",Schiers
"Giacomo Rotondo (* um 1550 in Scuol; † nach 1613 ebenda), Baumeister, Architekt in Warschau",Scuol
"Ludwig Molitor (* um 1620 in Scuol; † 1683 in Latsch GR), reformierter Pfarrer, Kirchenlieddichter",Scuol
"Tumasch Rauch (* 22. Mai 1896 in Scuol; † 17. Februar 1979 ebenda), Musiker, Komponist und Bauer",Scuol
"Duri Bezzola (* 1942), Architekt und Nationalrat FdP",Scuol
"Clo Duri Bezzola (* 14. Juli 1945 in Scuol; † 2004), Schriftsteller",Scuol
"Nott Caviezel (* 1953 in Scuol), Kunsthistoriker und Universitätsprofessor",Scuol
"Barbara Janom Steiner (* 1963 in Scuol), Rechtsanwältin, BDP-Politikerin und Regierungsrätin",Scuol
"Bianca Mayer (Künstlername: Bibi Vaplan, * 1979 in Scuol), rätoromanische Musikerin und Sängerin",Scuol
"Bartholomäus Anhorn der Jüngere (1616–1700), evangelisch-reformierter Pfarrer und Historiker, 1634 in Seewis.",Seewis im Prättigau
"Michael Kuoni (1839–1891), Chef des Eidg. Telegraphenbüros und Mundartautor, lebte und wirkte in Seewis.",Seewis im Prättigau
"Peter Walser (1871–1938), reformierter Geistlicher, Schulleiter und Präsident des Schulrats, wurde in Seewies geboren.",Seewis im Prättigau
"Paul Held (1891–1953), Architekt und Grafiker, wurde in Seewis-Pardisla geboren.",Seewis im Prättigau
Thomas Conrad von Baldenstein (1784–1878) auf Schloss Bandenstein geborener Naturforscher der Vogelwelt der Alpen,Sils im Domleschg
"Arno Jehli (* 30. März 1950) ist ein Schweizer Musiker, Kapellmeister und Komponist.",Sils im Domleschg
"Die Lage und das Klima zogen schon viele prominente Persönlichkeiten an. Hermann Hesse war gerne hier, und vor allem Friedrich Nietzsche: Er verbrachte zwischen 1881 und 1888 (mit Ausnahme des Jahres 1882) sieben Sommer in Sils Maria und schuf dort einige seiner bedeutendsten Werke; er verbreitete den Ruf des Ortes und des Sees in aller Welt. Ihm bewahrt das Nietzsche-Haus in Sils Maria, in dem er während seiner Aufenthalte in einfachsten Verhältnissen logierte, als Museum und Forschungsstätte ein ehrendes Andenken. Nietzsche nannte ein Gedicht dem Ort zu Ehren Sils Maria:",Sils im Engadin/Segl
"Zahlreiche bekannte Persönlichkeiten waren als Gäste des Hotels Waldhaus in Sils (siehe dort sowie weiter unten). Weniger bekannt ist, dass Anne Frank 1935 und 1936 die Sommerferien mit ihrer wohlhabenden Pariser Tante Olga Spitzer in deren Anwesen unweit des Hotels verbrachte. Spät wurde auf private Initiative hin zur Erinnerung an sie vor der «Villa Spitzer» («Villa Laret») ein Denkmal errichtet.Der Maler Andrea Robbi stammte aus Sils und verbrachte einen grossen Teil seines Lebens in seinem Haus am Platz neben der Post. Der amerikanische Staatssekretär Fred Iklé wurde 1924 im Fextal geboren. Die Schriftstellerin, Journalistin und Fotografin Annemarie Schwarzenbach mietete ab 1934 das Haus Jäger in Sils Baselgia und starb dort 1942 nach einem Fahrradunfall. Der Agronom Andrea Sciuchetti wurde in Sils geboren, er war Direktor der Landwirtschaftliche Schule Plantahof in Chur und Präsident des Schweizerischen Braunviehzuchtverbands.Der Dirigent und Generalmusikdirektor Claudio Abbado wurde 2014 auf dem Friedhof in Fex-Crasta beigesetzt. Attilio Bivetti (* 1947 in Vicosoprano), war seit 1974 als Tierarzt im Oberengadin und Bergell tätig. Von 1994 bis 2008 war er Bürgermeister von Sils; er wirkte auch als Schriftsteller.",Sils im Engadin/Segl
"Jörg Jenatsch (1596–1639), Schweizer Pfarrer und Politiker",Silvaplana
"Jeremias Lorza (1757–1837), reformierter Pfarrer und Schulreformer",Silvaplana
"Johann Robby (1764–1830), Konditor und Zuckerbäcker",Silvaplana
"Andreas Grisch (1879–1952), Agrarwissenschaftler",Silvaplana
"Elvira Osirnig (1908–2000), Skirennfahrerin",Silvaplana
"Katharina von Salis (* 1940), Geologin, Orientierungsläuferin und Frauenrechtlerin",Silvaplana
"Johannes Badrutt (1819–1889), Hotelier",St. Moritz
"Peter Robert Berry (1864–1942), Arzt und Maler",St. Moritz
"Marc Berthod (* 1983), Skirennfahrer",St. Moritz
"Arno Del Curto (* 1956), ehem. Eishockeyspieler, Eishockeytrainer",St. Moritz
"Hans Peter Danuser (* 1947), langjähriger Kurdirektor und Vermarkter von St. Moritz",St. Moritz
"Thomas Flohr (* 1960), Unternehmer und Autorennfahrer",St. Moritz
"Conradin Flugi (1787–1874), Dichter der Romantik",St. Moritz
"Nicolaus Hartmann (1880–1956), Architekt",St. Moritz
"Pablo Horváth (* 1962), Architekt",St. Moritz
"Gian Franco Kasper (1944–2021), Sportfunktionär, Präsident des Internationalen Skiverbandes (FIS)",St. Moritz
"Franco Matossi (1919–2012), Meisterknecht, Geschäftsführer, Politiker der Schweizerische Volkspartei (SVP), Thurgauer Grossrat, Staatsrat, Nationalrat und Ständerat",St. Moritz
"Anny Meisser-Vonzun (1910–1990), Malerin, Zeichnerin und Lithographin",St. Moritz
"Andrey Melnichenko (* 1972), russischer Oligarch und einer von rund 100 Pauschalbesteuerten in St. Moritz",St. Moritz
"Stavros Niarchos (1909–1996), Reeder, Mäzen und Unternehmer in St. Moritz",St. Moritz
"Gunther Sachs (1932–2011), Industrieller, Bobfahrer und Kunstförderer",St. Moritz
"Berni Schödler (* 1971), Skisprung-Trainer",St. Moritz
"Giovanni Testa (1903–1996), Skilehrer, Rennläufer, Diplom an den Olympischen Winterspielen in St. Moritz, Bündner Grossrat",St. Moritz
"Konrad Toenz (1939–2015), Radiojournalist und Fernsehmoderator",St. Moritz
"Laetitia Zappa (* 1974), Erotik- und Pornodarstellerin",St. Moritz
"Peter Bearth (1902–1989), Geologe, Professor für Petrographie an der Uni Basel und Autor",Sumvitg
"Jakob Bundi (1565–1614), Abt und Autor",Sumvitg
"Clau Maissen (1621–1678), Landrichter des Grauen Bundes",Sumvitg
"Georg Schmid von Grüneck (1851–1932), römisch-katholischer Bischof des Bistums Chur",Sumvitg
"Isabel Morf (* 1957), Autorin von Kriminalromanen",Sumvitg
"Leo Tuor (* 1959), Schriftsteller",Sumvitg
"Martin Candinas (* 1980), Politiker (2022/23 Nationalratspräsident)",Sumvitg
"Jakob Ragaz (1846–1922), Architekt",Tamins
"Leonhard Ragaz (1868–1945), reformierter Theologe",Tamins
"Georg Thürer (1908–2000), Literaturwissenschaftler und Historiker",Tamins
"Flury Koch (* 1945), Skilangläufer",Tamins
"Hans Jürg Domenig (* 1964), Unternehmer",Tamins
"Corinna Menn (* 1974), Architektin",Tamins
"Hans Ardüser (1557 – nach 1614), Bündner Wandermaler, Lehrer und Chronist",Thusis
"Hans Mohler (1919–2021), Mittelschullehrer, Schriftsteller. Ehrenbürger von Thusis",Thusis
"Annette Spiro (* 1957), Architektin",Thusis
"Joachim Beat Schmidt (* 1981), schweizerisch-isländischer Journalist und Schriftsteller",Thusis
"Bartholomäus Anhorn der Ältere (1566–1642), evangelisch-reformierter Pfarrer und Historiker in Graubünden und Appenzell, in Trimmis 1614",Trimmis
"Hans Ryffel (1878–1949), Direktor der Eidgenössischen Finanzkontrolle",Trimmis
"Johannes Caprez (1701–1777), evangelischer Geistlicher und Pietist, der sich für die Herrnhuter Brüdergemeine einsetzte.",Trin
"Peter Peyer (* 1965), Grossrat und Regierungsrat (SP)",Trin
"Reto Hänny (* 1947), Schriftsteller",Tschappina
"Luzi Jenny (1925–2015), Mundartschriftsteller",Tschappina
"Oscar Plattner (1922–2002), Radrennfahrer",Tschappina
"Peter Zinsli (1934–2011), Komponist, Kapellmeister und Schwyzerörgelispieler",Tschiertschen-Praden
"Paolo Dominici (* um 1555 in Rom; † 1618 in Lwiw), Bildhauer, Architekt",Tujetsch
"Baseli Berther (1858–1931), Benediktinerpater",Tujetsch
"Samuel Plattner (1838–1908), Jurist, Journalist und Bühnenautor",Untervaz
"Josef Hug (1903–1985), Korbflechter, Hausierer und Schriftsteller; stammte aus Untervaz",Untervaz
"Familie Barblan. Bündner Familie von Vnà (heute Gemeinde Valsot), die im 19. und 20. Jahrhundert verschiedene Lehrer, Pfarrer und bedeutende Künstler hervorgebracht hat.Florian Barblan (* 1834 in Vnà; † 1896 ebenda), Vater von Otto, war Förster, Lehrer und Schulinspektor und gab rätoromanische Lieder heraus.",Valsot
"Otto Barblan (* 22. März 1860 in S-chanf; † 19. Dezember 1943 in Genf), Komponist und Organist",Valsot
"Gaudenz Barblan (1860–1916), Lehrer an der Landwirtschaftsschule Plantahof.",Valsot
"Jon Semadeni (1910–1981), Lehrer und Autor",Valsot
"Remigius Deflorin, Bischöflicher Obervogt und Erbauer des Junkerhauses",Vaz/Obervaz
"Dr. Hilarius Rischatsch, Bezirksarzt, 1849 nach Dubuque (USA) ausgewandert",Vaz/Obervaz
"Jakob Fidel Margreth, Unternehmer in Udine, nach seiner Rückkehr Wohltäter der Gemeinde",Vaz/Obervaz
"Elisabeth Candrian-de Florin, Kaffeesiederin in Mailand",Vaz/Obervaz
"Johann Jakob Simonet, Domsextar und Historiker",Vaz/Obervaz
"Paul Kollegger, Klarinettist und Komponist",Vaz/Obervaz
"Luzi Bergamin, Klarinettist und Komponist",Vaz/Obervaz
"Toni Cantieni, Nationalrat und Präsident der Lia Rumantscha",Vaz/Obervaz
"Heini Hemmi, ehemaliger Skirennfahrer (lebt in Valbella)",Vaz/Obervaz
"Silvano Beltrametti, ehemaliger Skirennfahrer (lebt in Valbella)",Vaz/Obervaz
"Marcus Tatius Tatius Alpinus (um 1509–1562), Humanist, Übersetzer und Poet",Zernez
"Andrea Bezzola (1840–1897), Bundesrichter und Nationalratspräsident",Zernez
"Jon Guidon (1892–1966), Dichter",Zernez
"Andrea Schorta (1905–1990), Linguist, Gewinner Prix Charles Veillon und Bündner Kulturpreis",Zernez
"Rudolf Grass (1906–1982), Zernezer Dorffotograf",Zernez
"Robert F. Schloeth (1927–2012), Direktor des Schweizerischen Nationalparks, lebte 1958–1990 in Zernez",Zernez
"Jacques Guidon (1931–2021), Zeichner, Maler, Bildhauer, Schriftsteller und Theaterregisseur",Zernez
"Ursina Haller (* 1985), Snowboarderin",Zernez
"Bartholomäus Anhorn der Ältere (1566–1642), evangelisch-reformierter Pfarrer und Historiker in Graubünden und Appenzell, in Zizers 1612–1614",Zizers
"Rudolf von Salis-Zizers (1779–1840), Feldmarschalleutnant in österreichischen Diensten",Zizers
"Leonz Held (1844–1925), in Zizers geborener Topograf, Kartograf, Geodät und Offizier",Zizers
"Zita von Bourbon-Parma (1892–1989), als Gemahlin Kaiser Karls I. von 1916 bis 1918 letzte Kaiserin von Österreich und Königin von Ungarn, lebte von 1962 bis zu ihrem Tod am 14. März 1989 in Zizers",Zizers
"Johann Travers (1483–1563), Jurist und Bündner Landeshauptmann, Heerführer, Wegbereiter und Mitbegründer der rätoromanischen Sprache im Oberengadin",Zuoz
"Ulrich Campell (1510–1582), Reformator, Chronist und Kirchlieddichter, 1554–1556 evangelisch-reformierter Pfarrer in Zuoz",Zuoz
"Jan Peider Danz (um 1575–1620), geboren und aufgewachsen in Zuoz, reformierter Pfarrer in Celerina und Teglio, Opfer des Veltliner Mordes",Zuoz
"Giörin Wietzel (1595–1670), Landammann des Oberengadins, Politiker und Chronist",Zuoz
"Lurainz Wietzel (1627–1670), Jurist und Übersetzer des Genfer Psalters und pietistischer Erbauungsliteratur ins Ladinische",Zuoz
"Petrus Domenicus Rosius à Porta (1734–1806), reformierter Pfarrer in Zuoz 1803–1806 und Kirchenhistoriker",Zuoz
"Jakob von Albertini (1793–1848), Politiker",Zuoz
"Artur Caflisch (1893–1971), Poet, Schriftsteller, Übersetzer und Nonkonformist",Zuoz
"Silvia Andrea (1840–1935), Schriftstellerin und Übersetzerin",Zuoz
"Gerhart Sieveking (1901–1945), Pädagoge, Literaturforscher und Übersetzer",Zuoz
"Gian Casty (1914–1979), Maler, Illustrator und Glasmaler",Zuoz
"André Gorz (1923–2007), Sozialphilosoph und Publizist, 1939–1941 Student in Zuoz",Zuoz
"Werner Camichel (1945–2006), Olympiasieger im 4er-Bob 1972 in Sapporo sowie Weltmeister 1973 und 1975",Zuoz
